Id,FirstName,LastName,Company,Status,LeadSource,CreatedDate,AnnualRevenue,Sector,ProductInterest,State
00Qa5c2f5ad7542,Jane,Smith,Aperture Science 77,Working,LinkedIn,2025-10-23,3862816,Banking,Directors & Officers (D&O),Rio de Janeiro
00Q965fff8bd740,Jack,Miller,Acme Corp 20,Closed - Not Converted,Trade Show,2025-02-05,22731976,Financial Services,Corporate Life Insurance,Rio de Janeiro
00Q5531f4ffdc4b,Eva,Harris,Virtucon 34,New,LinkedIn,2025-04-07,580326,Insurance,Fleet Auto Insurance,Bahia
00Qce4dae519319,Grace,Davis,Virtucon 87,Working,Web,2025-11-04,7781616,Financial Services,Pension Fund Management,Minas Gerais
00Q27ef4f43c522,Eva,Harris,Stark Ind 16,Working,LinkedIn,2025-08-20,75651702,Financial Services,Fleet Auto Insurance,Sao Paulo
00Q5795fb98f33c,Ivy,Thomas,Tyrell Corp 91,Working,LinkedIn,2025-05-06,1194707,Insurance,Pension Fund Management,Sao Paulo
00Qff75ab39a7ce,Liam,Smith,MomCorp 67,New,Referral,2025-11-10,459513,Insurance,Group Health Insurance,Santa Catarina
00Q1e26cc4103b1,Ivy,Miller,Black Mesa 50,Working,LinkedIn,2025-05-18,5117428,Financial Services,Corporate Life Insurance,Sao Paulo
00Q7df2a54cd381,Mia,Doe,Acme Corp 49,Closed - Not Converted,LinkedIn,2025-08-19,196004,Insurance,Fleet Auto Insurance,Sao Paulo
00Qacf4aec4ea08,Bob,Moore,Tyrell Corp 13,Closed - Converted,Trade Show,2025-10-15,1107341,Insurance,Pension Fund Management,Sao Paulo
00Q5deca9aff0a0,Grace,Smith,Virtucon 24,Working,Partner,2025-09-17,2554015,Insurance,Corporate Life Insurance,Distrito Federal
00Qb0255c551f07,David,Jackson,Gekko & Co 4,New,Web,2025-01-23,95714,Insurance,Fleet Auto Insurance,Bahia
00Q5555b33d1c6f,Bob,Thomas,Hooli 84,Closed - Converted,Web,2025-08-27,1076708,Retail,Corporate Life Insurance,Santa Catarina
00Q49305dbd39d7,Jane,Doe,Dunder Mifflin 89,New,LinkedIn,2025-11-11,72999,Insurance,Group Health Insurance,Santa Catarina
00Qafa19e013d71,Jane,Johnson,Stark Ind 96,Working,Web,2025-07-12,3218491,Financial Services,Pension Fund Management,Distrito Federal
00Q5e59dfd773b9,Jack,Smith,Gekko & Co 80,New,Web,2025-05-06,1223229,Insurance,Commercial Property,Minas Gerais
00Qa848f77e6021,John,Anderson,Gekko & Co 95,Working,Referral,2025-10-31,7148558,Banking,Pension Fund Management,Distrito Federal
00Q9ee7e29b9c6a,Jack,Doe,MomCorp 4,Working,Trade Show,2025-08-21,1019817,Insurance,Fleet Auto Insurance,Rio Grande do Sul
00Qf3d747833dae,Eva,Williams,Gekko & Co 37,Closed - Not Converted,Partner,2025-05-25,9348796,Financial Services,Cyber Liability Insurance,Rio de Janeiro
00Qbe05a34805cf,Jane,Miller,Umbrella Corp 13,New,Cold Call,2025-09-09,25428463,Financial Services,Directors & Officers (D&O),Rio de Janeiro
00Q5d6b3866c9f5,Mia,Jackson,Virtucon 3,Working,LinkedIn,2025-03-17,1016798,Insurance,Corporate Life Insurance,Rio de Janeiro
00Q83a5a5ee9137,Eva,Wilson,Wayne Ent 70,New,Partner,2025-08-02,4503623,Financial Services,Commercial Property,Sao Paulo
00Q5a5fc93f064a,Jane,Taylor,LexCorp 78,Nurturing,Web,2025-02-22,952488,Insurance,Group Health Insurance,Minas Gerais
00Qdd6e680bc4f5,Jack,Moore,Acme Corp 85,Working,Referral,2025-08-22,2878891,FinTech,Commercial Property,Santa Catarina
00Q0c4f24c83ba9,John,Thomas,Cyberdyne 20,New,Trade Show,2025-01-22,16225952,Financial Services,Group Health Insurance,Parana
00Qef4ca6d15ccc,Charlie,Jackson,Acme Corp 75,New,LinkedIn,2025-02-15,17902788,Financial Services,Corporate Life Insurance,Sao Paulo
00Qc98928ed8810,Henry,Moore,Tyrell Corp 79,New,Web,2025-03-31,13990367,Banking,Fleet Auto Insurance,Minas Gerais
00Q9ec5fb96af79,John,Johnson,Vandelay Ind 21,Working,Trade Show,2025-04-19,16687186,Banking,Commercial Property,Distrito Federal
00Qeff6f126e343,Charlie,Davis,Umbrella Corp 79,New,Partner,2025-02-05,4309113,Financial Services,Cyber Liability Insurance,Rio Grande do Sul
00Qa34d3092ad79,Jane,Miller,Aperture Science 19,Closed - Converted,LinkedIn,2025-06-08,17593832,Financial Services,Directors & Officers (D&O),Rio de Janeiro
00Q21c66e605908,Kelly,Wilson,Virtucon 13,Closed - Converted,Trade Show,2025-11-19,1211974,FinTech,Corporate Life Insurance,Parana
00Q51901f3d8f5a,Alice,Miller,LexCorp 40,Working,Partner,2025-07-17,3188146,Insurance,Commercial Property,Bahia
00Q803d7716ba4f,Ivy,Doe,Umbrella Corp 35,New,Web,2025-04-08,175496,Insurance,Directors & Officers (D&O),Distrito Federal
00Qef58aa9fa83e,Eva,Harris,Soylent Corp 14,New,Partner,2025-03-01,834245,Healthcare,Commercial Property,Rio de Janeiro
00Q8274f696d38a,Ivy,Johnson,Dunder Mifflin 77,Nurturing,Referral,2025-10-18,1784864,Financial Services,Corporate Life Insurance,Sao Paulo
00Qd3f397196818,David,Williams,Gekko & Co 66,New,LinkedIn,2025-03-22,47794582,Financial Services,Commercial Property,Parana
00Q140747eeeaec,Mia,Smith,Vandelay Ind 64,New,Partner,2025-03-11,2032444,Financial Services,Commercial Property,Distrito Federal
00Qc56e736402f6,Bob,Wilson,Aperture Science 86,New,LinkedIn,2025-08-25,5731870,Financial Services,Directors & Officers (D&O),Rio de Janeiro
00Q6e0a85c8efef,John,Anderson,Oscorp 57,Nurturing,Partner,2025-01-06,5050673,Insurance,Pension Fund Management,Distrito Federal
00Q4ac41de19468,Henry,Johnson,Cyberdyne 24,New,LinkedIn,2025-06-17,9137544,Financial Services,Cyber Liability Insurance,Rio Grande do Sul
00Q6402abcb18b3,Alice,Johnson,Tyrell Corp 26,New,LinkedIn,2025-08-19,216388568,Banking,Group Health Insurance,Sao Paulo
00Q799924be753f,Ivy,Taylor,MomCorp 22,New,Cold Call,2025-04-22,3580166,Healthcare,Group Health Insurance,Santa Catarina
00Qcc95426fc243,Bob,Wilson,Umbrella Corp 5,New,Cold Call,2025-03-12,987841,FinTech,Commercial Property,Bahia
00Q42de17d78f78,Ivy,Wilson,Vandelay Ind 83,Working,LinkedIn,2025-10-31,688738,Insurance,Directors & Officers (D&O),Parana
00Qf891199f6248,Charlie,Johnson,Umbrella Corp 1,Closed - Converted,Trade Show,2025-05-13,1538500,Insurance,Corporate Life Insurance,Distrito Federal
00Q5247050bffd9,David,Brown,Stark Ind 51,Nurturing,Trade Show,2025-11-04,19374241,Financial Services,Fleet Auto Insurance,Distrito Federal
00Q6fefb14dc4ed,Charlie,White,Massive Dynamic 91,Nurturing,LinkedIn,2025-04-17,1764290,Insurance,Group Health Insurance,Parana
00Q922916acc35f,Charlie,Doe,Globex 61,Closed - Converted,Web,2025-04-16,5546734,Financial Services,Commercial Property,Santa Catarina
00Q15d49cb24052,Grace,Anderson,Stark Ind 36,Closed - Converted,Referral,2025-07-12,404852,FinTech,Corporate Life Insurance,Rio de Janeiro
00Q53ac62c23bce,Grace,Harris,Virtucon 52,Working,Cold Call,2025-02-06,8410736,Insurance,Pension Fund Management,Distrito Federal
00Q7b930766d137,Jane,Miller,Wayne Ent 76,Working,Web,2025-07-03,1816838,Insurance,Pension Fund Management,Rio Grande do Sul
00Qf84bea5155fc,Henry,Anderson,Vandelay Ind 96,Nurturing,Web,2025-09-12,856142,Insurance,Commercial Property,Santa Catarina
00Q777a01484021,Liam,Doe,Cyberdyne 88,Closed - Not Converted,Partner,2025-03-01,6487630,Financial Services,Directors & Officers (D&O),Minas Gerais
00Q77b24aa8c74b,Henry,Wilson,Tyrell Corp 52,New,Cold Call,2025-05-29,1011868,Insurance,Commercial Property,Sao Paulo
00Q072d63b146ad,John,Anderson,Cyberdyne 49,Working,Web,2025-02-19,776087,Healthcare,Commercial Property,Distrito Federal
00Qee9bd9f632a1,Kelly,Johnson,Aperture Science 13,Working,Cold Call,2025-04-16,1245613,Insurance,Commercial Property,Sao Paulo
00Q845599948561,Grace,Jackson,LexCorp 49,Working,Web,2025-02-19,60111781,Financial Services,Cyber Liability Insurance,Sao Paulo
00Q6be95eac3340,Grace,Moore,Gekko & Co 44,New,Cold Call,2025-01-04,18814305,Financial Services,Cyber Liability Insurance,Parana
00Qd61abb2cc4eb,Kelly,Doe,Stark Ind 50,Working,Trade Show,2025-11-14,6712510,Financial Services,Fleet Auto Insurance,Bahia
00Qa2c9feba9763,Frank,Harris,Virtucon 13,Working,Web,2025-02-16,4157720,Financial Services,Pension Fund Management,Sao Paulo
00Qcc92d80b6aa1,Grace,Wilson,Wayne Ent 21,Nurturing,Partner,2025-05-23,124577386,Financial Services,Corporate Life Insurance,Sao Paulo
00Qd019ce89c6e3,Jack,Williams,Black Mesa 80,Closed - Not Converted,Web,2025-01-04,478568,Insurance,Fleet Auto Insurance,Parana
00Q174f980ee884,Henry,Miller,Gekko & Co 20,New,LinkedIn,2025-05-17,4850059,Financial Services,Group Health Insurance,Santa Catarina
00Q79f22e08115a,Charlie,Thomas,Aperture Science 5,Closed - Converted,Web,2025-10-04,1632794,Insurance,Fleet Auto Insurance,Parana
00Qf2f53828832d,Ivy,Moore,Aperture Science 83,Closed - Not Converted,Cold Call,2025-04-02,1311595,Financial Services,Cyber Liability Insurance,Distrito Federal
00Qecf34853439f,Frank,Wilson,LexCorp 48,Working,LinkedIn,2025-11-02,12896882,Financial Services,Corporate Life Insurance,Parana
00Qdf0127a634e4,Frank,Davis,Initech 84,Closed - Converted,LinkedIn,2025-11-21,2539308,Insurance,Corporate Life Insurance,Santa Catarina
00Q2aeaaa5bb102,Kelly,Davis,Umbrella Corp 59,Working,Cold Call,2025-08-19,1127626,FinTech,Group Health Insurance,Parana
00Q8e46a3fd8630,Eva,Davis,Vandelay Ind 90,Working,Web,2025-05-20,1863353,Banking,Directors & Officers (D&O),Sao Paulo
00Qc426661fe567,Frank,Smith,Black Mesa 85,Closed - Converted,LinkedIn,2025-07-09,5367794,Banking,Commercial Property,Bahia
